File,sum.x,sum.y
Solar21118.tif,22480.78908,15750.34072
Solar21844.tif,45.67548683,248.9609931
Solar22545.tif,17394.32121,12117.76355
Solar23228.tif,12462.02272,11130.12179
Solar23229.tif,17880.49361,17261.37378
Solar23231.tif,8148.228288,5780.338088
Solar23940.tif,6506.3501,327.6226146
Solar26927.tif,3383.593163,3691.84435
Solar27670.tif,1745.300293,2372.790931
Solar27671.tif,2033.609874,2014.89488
Solar27672.tif,1636.972972,835.1009835
Solar28399.tif,1980.436699,3514.527529
Solar29217.tif,4922.864875,5036.240974
Solar31787.tif,1672.846118,4476.17697
Solar32661.tif,1735.448823,3049.6647
Solar32662.tif,1968.815819,1881.261049
Solar32664.tif,3141.830388,4142.193289
Solar32665.tif,4947.766962,7679.497047
Solar35270.tif,4579.291807,7010.391914
Solar35271.tif,13714.96257,10607.77899
Solar35272.tif,11785.40598,9704.63598
Solar35273.tif,12051.24934,6335.599399
Solar35274.tif,6739.293593,4644.013519
Solar35275.tif,3092.469337,3354.299585
Solar35276.tif,5956.611854,3347.912704
Solar35277.tif,2720.669383,2832.630029
Solar35279.tif,4631.889948,2797.57616
Solar36056.tif,14322.47067,20376.92502
Solar36059.tif,23343.90835,25186.2857
Solar36060.tif,4703.524863,8423.081797
Solar36061.tif,18849.6745,11100.63794
Solar36062.tif,4327.22291,5711.546075
Solar36063.tif,22270.86908,15627.53536
Solar36064.tif,1233.992782,1429.21139
Solar36065.tif,13051.74224,7403.642743
Solar36066.tif,15028.65847,9562.796833
Solar36067.tif,3039.076827,2559.284052
Solar36068.tif,8744.869683,5445.042857
Solar36069.tif,8158.310771,3925.2319
Solar36070.tif,10986.51742,7025.280913
Solar36071.tif,11177.00865,5468.559991
Solar36072.tif,6078.950845,3076.145508
Solar36073.tif,7545.75376,3294.696886
Solar36074.tif,11061.5037,6387.105306
Solar36077.tif,7680.854913,5600.450519
Solar36883.tif,2542.984949,6440.417626
Solar36884.tif,12114.49014,9589.693218
Solar36885.tif,21248.57124,20731.6734
Solar36886.tif,13633.63874,12735.0183
Solar36887.tif,17119.78831,13977.81951
Solar36888.tif,13215.77419,10676.57797
Solar36889.tif,17777.53869,13637.9922
Solar36890.tif,1332.166554,1795.794732
Solar36891.tif,10607.20864,7809.367468
Solar36892.tif,8583.885679,4604.039267
Solar36893.tif,9988.871205,4804.786049
Solar36894.tif,6010.103244,2839.927705
Solar36895.tif,12260.21243,7292.079273
Solar36896.tif,5619.891791,4949.297696
Solar36897.tif,6580.172914,2494.405977
Solar36898.tif,9315.376343,5905.407146
Solar36899.tif,8622.774394,5827.678808
Solar37697.tif,6354.356627,5024.675417
Solar37698.tif,14736.42012,9848.538238
Solar37700.tif,14669.46352,8840.338188
