Plateau,Average_Sum
BC08_01,90.75632187604904
BC08_02,150.75478703022003
BC09_01,44.649133150056
BC09_02,170.56124673128127
BC10_01,46.135444285869596
BC10_02,45.693813393115995
BC10_03,30.423545670509338
BC10_04,50.55432619571686
BC11_01,82.11258666038513
BC11_02,75.95169425725936
BC13_01,96.28169070959092
BC13_02,70.38428540945053
BC15,64.01320896849036
BC17,76.28474496223964
BC18,43.98443943208083
BC19,69.50214944010601
BC20,369.85212922215464
BC21,186.14020948598161
BC22,33.941867551486936
BC23,32.60469823913649
BC24,323.3751844975352
BC25,365.09904737830163
BC26_01,24.580235374607145
BC26_02,47.065503259897234
BC26_03,20.650642566308377
NC01,46.080701985319614
NC02,25.473352807089686
NC05,36.3294352452457
NC06,18.818802098138256
PC32,6.206313123973087
SI01,76.02943506270181
SI02,56.61007464933209
SI03,141.74361976116896
SI04,95.2421546743065
SI05,109.26876648962498
SI06,85.54646391171497
SI08,88.1277265137434
SI09,69.81852275788783
SI10,27.447410240061583
SI11,13.045956309116445
SI12,27.803917906684802
SI13,352.59202091522513
SI14,25.59069915610831
SI15,45.239941660137845
SI22,24.366470100386067
SI30,10.908172741178424
SI31,58.3722614803724
SI33,54.49823438480497
SI38,42.595760238692165
VI02,59.837220511483025
VI04,9.10834066765383
VI05,100.39219123024493
VI06,39.728329752208666
VI07,36.126869093934076
VI08,8.119803834725172
VI09,21.6876724659279
VI13,14.199942589532585
NC08,1.8942796009406448
NC09,11.053871991541236
