"number" "dsum" "count" "missing" "quant_error" "fname"
48 4322.0 4322 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_gb_spadefoot.tif"
49 1.0 1 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_golden_paintbrush.tif"
50 2.0 2 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_grand_redstem.tif"
51 4.0 4 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_grandcoulee_owlclover.tif"
52 4.0 4 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_grays_biscuitroot.tif"
53 2739.0 2739 7759831 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_greatbasin_gopher_snake.tif"
54 3571.0 3571 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_gypsy_cuckoo_bumlebee.tif"
55 3.0 3 7759831 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_hairy_indian_paintbrush.tif"
56 198.0 198 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_halfmoon_hairstreak.tif"
57 8.0 8 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_hallers_applemoss.tif"
58 36.0 36 7759831 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_hesperochiron.tif"
59 5.0 5 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_howells_triteleia.tif"
60 2.0 2 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_kellogs_rush.tif"
61 2.0 2 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_lemmons_holly_fern.tif"
62 11826.0 11826 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_lewis_woodpecker.tif"
63 1.0 1 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_lindleys_silverpuff.tif"
64 4.0 4 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_lowland_rotala.tif"
65 31.0 31 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_macouns_meadowfoam.tif"
66 2.0 2 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_maidenhair_fern.tif"
67 135564. 135564 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_marbled_murrelet.tif"
68 236.0 236 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_marsh_shrew.tif"
69 80.0 80 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_mormon_metalmark.tif"
70 3.0 3 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_mountain_holly_fern.tif"
71 20.0 20 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_muhlenbergs_centaury.tif"
72 8.0 8 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_mx_mosquito_fern.tif"
73 253.0 253 7759831 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_myotis.tif"
74 2257.0 2257 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_n_leopard_frog.tif"
75 25878.0 25878 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_n_spotted_owl.tif"
76 8559.0 8559 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_northern_goshawk.tif"
77 60.0 60 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_northern_sawwhet.tif"
78 12.0 12 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_nugget_moss.tif"
79 37.0 37 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_okanagan_efferia.tif"
80 78.0 78 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_olive_clubtail.tif"
81 307.0 307 7759831 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_oregon_branded_skipper.tif"
82 91.0 91 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_oregon_forestsnail.tif"
83 222.0 222 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_oregon_spotted_frog.tif"
84 3.0 3 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_oregon_vesper_sparrow.tif"
85 4.0 4 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_pacific_popcornflower.tif"
86 3972.0 3972 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_painted_turtle.tif"
87 2261.0 2261 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_pallid_bat.tif"
88 53.0 53 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_phantom_orchid.tif"
89 5.0 5 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_pink_sand_verbana.tif"
90 35.0 35 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_plains_evening_primrose.tif"
91 26.0 26 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Terrestrial\ch_poor_pocket_moss.tif"
