"File","sum"
"Solar71768.tif",166
"Solar71769.tif",220
"Solar71774.tif",687
"Solar71777.tif",600
"Solar71781.tif",399
"Solar71782.tif",367
"Solar71783.tif",775
"Solar72530.tif",220
"Solar72533.tif",788
"Solar72534.tif",617
"Solar72536.tif",767
"Solar72538.tif",600
"Solar72541.tif",620
"Solar72543.tif",700
"Solar73255.tif",108
"Solar73256.tif",410
"Solar73257.tif",60
"Solar73258.tif",440
"Solar73259.tif",817
"Solar73260.tif",470
"Solar73982.tif",46
"Solar73984.tif",25
"Solar73987.tif",120
"Solar73988.tif",360
"Solar73989.tif",1214
"Solar73991.tif",530
"Solar73997.tif",261
"Solar74711.tif",44
"Solar74712.tif",46
"Solar75466.tif",11
"Solar75468.tif",68
"Solar76231.tif",57
"Solar76234.tif",127
"Solar76238.tif",144
"Solar76239.tif",320
"Solar76979.tif",148
"Solar76981.tif",129
"Solar77691.tif",256
"Solar77693.tif",50
"Solar77711.tif",864
"Solar78421.tif",240
"Solar78434.tif",731
"Solar78446.tif",390
"Solar79181.tif",6
"Solar79182.tif",194
"Solar79198.tif",582
"Solar79201.tif",207
"Solar79890.tif",680
"Solar79893.tif",802
"Solar79903.tif",766
"Solar79905.tif",486
"Solar79908.tif",200
"Solar79910.tif",562
"Solar79919.tif",185
"Solar80640.tif",291
"Solar81353.tif",264
"Solar81355.tif",412
"Solar81356.tif",309
"South_Creek-8hr.tif",1081
"Spuzzum_Creek-8hr.tif",19
"Squamish_River_B-8hr.tif",530
"T_2L129.tif",971
"T_5L003.tif",2444
"T_5L007.tif",1575
"T_5L013.tif",6188
"T_5L042.tif",3517
"T_5L061.tif",2727
"T_5L062.tif",1341
"T_5L063.tif",2108
"Upper Clore - storage for 16 hrs of generation.tif",901
"Upper Deserted - Un-named.tif",839
"Upper Misery - Lower Misery.tif",476
"Upper Vancouver - Lower Vancouver.tif",710
"VI02.tif",1647
"VI04.tif",1262
"VI05.tif",1435
"VI06.tif",1227
"VI07.tif",1015
"VI08.tif",205
"VI09.tif",1562
"VI10.tif",369
"VI11.tif",157
"VI12.tif",137
"VI13.tif",92
"VI14.tif",157
"VI15.tif",392
"WBBio_CB_RR.tif",892
"WBBio_LM_RR.tif",98
"WBBio_LM_ST_1.tif",98
"WBBio_LM_ST_2.tif",98
"WBBio_NE_ST_1.tif",3028
"WBBio_NE_ST_2.tif",3028
"WBBio_NE_ST_3.tif",3028
"WBBio_NW_ST.tif",1356
"WBBio_SP_RR.tif",1
"WBBio_SP_ST.tif",1
"WBBio_WPR_PL.tif",47
"Zymoetz_River-8hr.tif",110
