"","BC Hydro Names","Project Type","Region","In 2021?","Latitude","Longitude","Installed Capacity (MW)","Dependable Generating Capacity (MW)","Effective Load-Carrying Capacity (MW)","Annual Firm Energy (GWh/yr)","UEC ($/MWh)","UCC ($/kW-yr)","R1 Length (km)","T1 Length (km)","Linear Features (km)","Line Voltage","Linear Area (ha)","ATG (ha)","ATG/Linear Ratio","Plateau or Ridgeline - WIND","Number of Turbines - WIND","Footprint of Plant (ha) - SOLAR","Footprint of Panels (ha) - SOLAR","Raw Terrestrial Score","Terrestrial % of Summed Score","Raw Freshwater Score","Freshwater % of Summed Score","Summed Raw Scores","Terrestrial Proportion of Scaled Score","Freshwater Proportion of Scaled Score","Scaled Summed Score","Notes"
"1","WBBio_SP_RR","Biomass","Peace River","y","55.700000000499998","-121.633333333","9.2094357002400002","9","NA","73","213.94","NA","0","0.42426399999999997",0.424264,25,42.4264,"10","0.23570229856881564","NA","NA","NA","NA",4.04386751260608,0.81282596129191,0.931204280350357,0.18717403870809,4.97507179295644,2.39778543157364e-05,5.52151634612815e-06,2.94993706618646e-05,NA
"2","WBBio_SP_ST","Biomass","Peace River","y","55.700000000499998","-121.633333333","0.92358257850000003","1","NA","7","213.94","NA","0","0.42426399999999997",0.424264,25,42.4264,"10","0.23570229856881564","NA","NA","NA","NA",4.04386751260608,0.81282596129191,0.931204280350357,0.18717403870809,4.97507179295644,2.39778543157364e-05,5.52151634612815e-06,2.94993706618646e-05,NA
"3","Solar21844","Solar","Peace River",NA,"56.025869370000002","-122.0464077","64.8","NA","NA","101.8299691","129.12719440000001","NA","0.3","3.2",3.5,130,350,"263.25","0.75214285714285711","NA","NA","263.25","105.3",45.6754868254066,0.155023189364704,248.960993126966,0.844976810635296,294.636479952373,0.000270829883888588,0.00147619831878527,0.00174702820267386,NA
"4","PC32","Onshore Wind","Peace River","y","55.808584250000003","-121.38396040000001","150","NA","36","383.81940000000003","84.166982229582743","NA","0.1","20",20.1,130,2010,"19.085175370557995","9.495112124655718E-3","P","30","NA","NA",530.743952919776,0.737381104386537,189.02490169622,0.262618895613463,719.768854615996,0.00314701239405025,0.00112081109007388,0.00426782348412412,NA
"5","Chemainus_River-8hr","Small Storage Hydro","Vancouver Island","y","48.88","-123.8","40.1","40","21","113.7","91.427448071216631","NA","0.3","8",8.3,69,830,"7.99","9.6265060240963846E-3","NA","NA","NA","NA",106.8677475648,0.104668608296974,914.142747402191,0.895331391703026,1021.01049496699,0.000633665488340465,0.0054203510754661,0.00605401656380657,NA
"6","Solar79181","Solar","Vancouver Island",NA,"48.394614390000001","-123.68698790000001","20.736000000000001","NA","NA","34.642736669999998","156.2644238","NA","0","0",0,130,0,"84.24",NA,"NA","NA","84.24","33.695999999999998",208.071199856699,0.190666552355807,883.211971133947,0.809333447644193,1091.28317099065,0.00123374489938449,0.00523694901174354,0.00647069391112803,NA
"7","Solar73257","Solar","Selkirk",NA,"49.882209920000001","-119.53793","15.35261538","NA","NA","25.777106369999998","124.2695628","NA","0","7.1",7.1,25,710,"62.37","8.7845070422535212E-2","NA","NA","62.37","24.948",1098.1699924469,0.975430557111508,27.661041285377,0.0245694428884919,1125.83103373228,0.0065115288794008,0.000164014378832828,0.00667554325823363,NA
"8","Spuzzum_Creek-8hr","Small Storage Hydro","Lower Mainland","y","49.68","-121.53","40.4","40","8","134.80000000000001","88.061461448598124","NA","0","9.6941125496967455",9.69411254969675,69,969.411254969675,"9.02","9.3046165430399983E-3","NA","NA","NA","NA",742.184618853033,0.464904515273204,854.23915091157,0.535095484726796,1596.4237697646,0.00440073632747917,0.00506515652342819,0.00946589285090736,NA
"9","Solar73984","Solar","Lower Mainland",NA,"49.25994","-122.8224257","17.34646154","NA","NA","25.107017670000001","133.37647190000001","NA","0.3","0",0.3,25,30,"70.47","2.3489999999999998","NA","NA","70.47","28.187999999999999",603.531862273812,0.352735890968864,1107.4702719748,0.647264109031136,1711.00213424861,0.00357860365686918,0.00656667429327018,0.0101452779501394,NA
"10","Batt_VI","Battery","Vancouver Island","y","48.494855999999999","-123.42505199999999","50","NA","40","NA","NA","250.36602238805969","0","0.6",0.6,69,60,"0.3","5.0000000000000001E-3","NA","NA","NA","NA",1494.01179218292,0.738291161911413,529.596059650183,0.261708838088587,2023.6078518331,0.00885864756629181,0.0031402060341726,0.0119988536004644,NA
"11","Solar71767","Solar","Vancouver Island",NA,"49.276818929999997","-124.7540298","44.861538459999998","NA","NA","69.180113860000006","142.17640979999999","NA","0.8","5.4",6.2,130,620,"182.25","0.2939516129032258","NA","NA","182.25","72.900000000000006",955.57333604712,0.45625659767449,1138.8036897704,0.54374340232551,2094.37702581752,0.00566601110652461,0.00675246379423057,0.0124184749007552,NA
"12","Solar74712","Solar","Lower Mainland",NA,"49.179494689999999","-122.69556009999999","24.723692310000001","NA","NA","36.095815309999999","156.3236301","NA","0","0",0,69,0,"100.44",NA,"NA","NA","100.44","40.176000000000002",766.068074896932,0.360001688657882,1361.8888181746,0.639998311342118,2127.95689307153,0.00454235175572742,0.00807523282467193,0.0126175845803994,NA
"13","WBBio_WPR_PL","Biomass","North Coast","y","54.052777778600003","-128.65","13.691422297000001","13","NA","109","133.66","NA","0","4.7698499999999999",4.76985,25,476.985,"10","2.0965019864356321E-2","NA","NA","NA","NA",870.423840999603,0.377236913710068,1436.94272193592,0.622763086289932,2307.36656293552,0.00516112261031567,0.00852026015670152,0.0136813827670172,NA
"14","Solar27672","Solar","Central Interior",NA,"55.0759489","-122.8093126","116.4406154","NA","NA","175.9141228","123.5507886","NA","0","0",0,130,0,"473.04",NA,"NA","NA","473.04","189.21600000000001",1636.9729719162,0.662186083995544,835.100983547978,0.337813916004456,2472.07395546418,0.00970632675700825,0.00495167798154128,0.0146580047385495,NA
"15","NC13","Onshore Wind","North Coast",NA,"54.277220999999997","-130.33815799999999","27","NA","7.1999999999999993","89.352000000000004","105.77926262590856","NA","6.2","4.5941127929687502",10.7941127929688,69,1079.41127929688,"42.32009","3.9206640519420147E-2","R","NA","NA","NA",1538.07843957003,0.621316447748834,937.436968307593,0.378683552251166,2475.51540787762,0.00911993793941536,0.00555847267156863,0.014678410610984,NA
"16","Solar75466","Solar","Vancouver Island",NA,"48.834504019999997","-124.0850609","46.855384620000002","NA","NA","74.251016120000003","127.60151999999999","NA","0","2.9",2.9,69,290,"190.35","0.65637931034482755","NA","NA","190.35","76.14",63.1090255826712,0.0254622773483468,2415.42126137018,0.974537722651653,2478.53028695285,0.000374200939252378,0.0143220862047832,0.0146962871440356,NA
"17","Solar36064","Solar","Central Interior",NA,"54.00722236","-123.00143319999999","75.566769230000006","NA","NA","121.5266858","137.62052389999999","NA","0.4","33",33.4,130,3340,"306.99","9.1913173652694607E-2","NA","NA","306.99","122.79600000000001",1233.99278216064,0.463348921885329,1429.2113904953,0.536651078114671,2663.20417265594,0.00731688144210485,0.00847441772037739,0.0157912991624822,NA
"18","PC46","Onshore Wind","Peace River","y","55.077247999999997","-121.11845","54","NA","13.2","216.81","76.420343570647532","NA","6.8","8.4",15.2,69,1520,"7","4.6052631578947364E-3","R","NA","NA","NA",1479.42449508607,0.510495749945622,1418.59080718365,0.489504250054378,2898.01530226972,0.00877215311919178,0.00841144364949079,0.0171835967686826,NA
"19","Solar36890","Solar","Central Interior",NA,"53.877991010000002","-122.8370235","33.496615380000001","NA","NA","52.848051429999998","138.08396289999999","NA","1.6","3.9",5.5,69,550,"136.08000000000001","0.24741818181818184","NA","NA","136.08000000000001","54.432000000000002",1332.16655422747,0.425889719251991,1795.79473248124,0.574110280748009,3127.96128670871,0.00789899655762399,0.0106480502494634,0.0185470468070874,NA
"20","ROR_5332","Run of River","Mica","y","51.656905572900001","-118.616383477","49.27","NA","7","151","84.37","NA","0.14142135620100002","4.7698486328124998",4.9112699890135,69,491.12699890135,"5.75","1.1707766041905123E-2","NA","NA","NA","NA",1948.44505500793,0.616632103263979,1211.37267860398,0.383367896736021,3159.81773361191,0.0115531805939628,0.00718275698179608,0.0187359375757589,NA
"21","PC29","Onshore Wind","Peace River",NA,"55.576506389999999","-121.70082429999999","87","NA","21.599999999999998","213.57755999999998","98.6800376344559","NA","0.8","15.891168945312501",16.6911689453125,130,1669.11689453125,"154.23779999999999","9.2406829327142892E-2","R","NA","NA","NA",2528.6159211807,0.798351216760947,638.681714363396,0.201648783239053,3167.2976355441,0.0149932667154688,0.00378702246139143,0.0187802891768603,NA
"22","Solar71006","Solar","Revelstoke",NA,"50.251419759999997","-119.0855406","56.226461540000003","NA","NA","93.936269280000005","126.49713850000001","NA","0.3","6.3",6.6,130,660,"228.42","0.34609090909090906","NA","NA","228.42","91.367999999999995",2086.62586694956,0.641669301691878,1165.2452471084,0.358330698308122,3251.87111405796,0.0123725148989661,0.00690924732083111,0.0192817622197972,NA
"23","Solar73255","Solar","Selkirk",NA,"49.87013486","-119.61992739999999","46.855384620000002","NA","NA","78.681712860000005","128.353951","NA","0","2.8",2.8,130,280,"190.35","0.67982142857142858","NA","NA","190.35","76.14",3262.87774252892,0.93572427076786,224.129963118583,0.0642757292321395,3487.0077056475,0.0193470253208166,0.00132896431119361,0.0206759896320102,NA
"24","PC18","Onshore Wind","Peace River","y","55.364116840000001","-121.4835836","138","NA","33.6","562.91759999999999","52.49959951056757","NA","7.1597988281300005","18.976451171874999",26.136250000005,230,2613.6250000005,"17.809999999999999","6.8142904969139004E-3","R","NA","NA","NA",2685.97787870467,0.713828737130321,1076.79845543765,0.286171262869679,3762.77633414232,0.015926334398964,0.00638480771474501,0.0223111421137091,NA
"25","Solar70974","Solar","Vancouver Island",NA,"49.294201639999997","-124.938819","13.757538459999999","NA","NA","21.000400800000001","146.74781540000001","NA","0","3.1",3.1,25,310,"55.89","0.18029032258064517","NA","NA","55.89","22.356000000000002",2435.7539587561,0.642022910093124,1358.11993649602,0.357977089906877,3793.87389525212,0.0144426476361965,0.00805288548130805,0.0224955331175046,NA
"26","Solar32662","Solar","North Coast",NA,"54.083533119999998","-125.05285360000001","24.125538460000001","NA","NA","38.697618769999998","145.5844884","NA","0","2.8",2.8,69,280,"98.01","0.35003571428571428","NA","NA","98.01","39.204000000000001",1968.81581878662,0.511370522286815,1881.26104912162,0.488629477713185,3850.07686790824,0.0116739677376225,0.011154817319086,0.0228287850567085,NA
