"","BC Hydro Names","Project Type","Region","In 2021?","Latitude","Longitude","Installed Capacity (MW)","Dependable Generating Capacity (MW)","Effective Load-Carrying Capacity (MW)","Annual Firm Energy (GWh/yr)","UEC ($/MWh)","UCC ($/kW-yr)","R1 Length (km)","T1 Length (km)","Linear Features (km)","Line Voltage","Linear Area (ha)","ATG (ha)","ATG/Linear Ratio","Plateau or Ridgeline - WIND","Number of Turbines - WIND","Footprint of Plant (ha) - SOLAR","Footprint of Panels (ha) - SOLAR","Raw Terrestrial Score","Terrestrial % of Summed Score","Raw Freshwater Score","Freshwater % of Summed Score","Summed Raw Scores","Terrestrial Proportion of Scaled Score","Freshwater Proportion of Scaled Score","Scaled Summed Score","Notes"
"109","T_5L063","Transmission","TKW - Telkwa Sub -> SKA - Skeena Sub","y","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",142.790050594,500,5711.60202376,"NA","NA","NA","NA","NA","NA",1285.02,0.384732380130035,2055.016,0.615267619869965,3340.036,0.157897181413297,0.252510648985407,0.410407830398703,NA
"110","Upper Clore - Storage for 16 hrs of generation","Pumped Storage","North Coast","y","54.183812750400001","-127.97489492699999","1000","NA","1000","NA","NA","182.65150565656566","3.0727922061400563","55.326406871194145",58.3991990773342,500,2335.96796309337,"55.33","2.3686112512746164E-2","NA","NA","NA","NA",582.5357,0.436752645809089,751.2529,0.563247354190912,1333.7886,0.0715792323097086,0.0923104040704154,0.163889636380124,NA
"111","Upper Deserted - Un-named","Pumped Storage","Lower Mainland","y","50.1539637132","-123.68430182500001","1000","NA","495","NA","NA","171.27576141414141","1.9313709716799998","64.098070312499999",66.02944128418,500,2641.1776513672,"65.650000000000006","2.4856336326341558E-2","NA","NA","NA","NA",517.5103,0.293454651214682,1246,0.706545348785318,1763.5103,0.0635892186287759,0.153102588318445,0.21669180694722,NA
"112","Upper Misery - Lower Misery","Pumped Storage","Lower Mainland","y","49.755810000899999","-123.601969999","1000","NA","495","NA","NA","170.55434646464647","0.42426406860400001","31.430865786513319",31.8551298551173,500,1274.20519420469,"31.43","2.466635683400846E-2","NA","NA","NA","NA",301.8392,0.337178094268471,593.353,0.662821905731529,895.1922,0.0370885736564756,0.0729084109843612,0.109996984640837,NA
"113","Upper Vancouver - Lower Vancouver","Pumped Storage","Lower Mainland","y","49.912636246700004","-123.731816256","1000","NA","495","NA","NA","170.62377878787873","10.0225371094","34.413203435597197",44.4357405449972,500,1777.42962179989,"11.75","6.6106696185818806E-3","NA","NA","NA","NA",486.3351,0.406500207247485,710.0606,0.593499792752515,1196.3957,0.0597585574639724,0.0872488890232325,0.147007446487205,NA
"114","VI02","Onshore Wind","Vancouver Island","y","50.806605189999999","-128.13496689999999","147","NA","42","514.16819999999996","77.965470085587228","NA","3.5","69",72.5,130,2900,"22.266037932317658","7.6779441145922956E-3","P","35","NA","NA",872.64597,0.221404572994616,3068.763,0.778595427005384,3941.40897,0.107226610507753,0.377075086866673,0.484301697374426,NA
"115","VI04","Onshore Wind","Vancouver Island","y","50.776845999999999","-127.8682787","60","NA","14.399999999999999","188.21735999999999","101.1195555834226","NA","2.1798991699200001","48.825691406250002",51.00559057617,130,2040.2236230468,"7.6340701482231959","3.7417810783029444E-3","P","12","NA","NA",603.610116,0.195630131946073,2481.85586,0.804369868053927,3085.465976,0.0741687568979106,0.304958712680015,0.379127469577926,NA
"116","VI05","Onshore Wind","Vancouver Island","y","50.739074709999997","-127.770989","255","NA","61.199999999999996","786.74436000000003","93.499766923626581","NA","0.7","173.4",174.1,230,6964,"32.444798129948587","4.6589313799466668E-3","P","51","NA","NA",828.3634,0.236091396374155,2680.2922,0.763908603625845,3508.6556,0.101785377695238,0.329341631837671,0.431127009532909,NA
"117","VI06","Onshore Wind","Vancouver Island","y","50.78142433","-127.6862897","117","NA","27.599999999999998","358.53366","83.915463409001291","NA","1.7","36",37.7,130,1508,"14.631967784094462","9.7028964085507027E-3","P","23","NA","NA",639.58471,0.211392332027846,2385.9967,0.788607667972153,3025.58141,0.078589144903613,0.293179992366988,0.371769137270601,NA
"118","VI07","Onshore Wind","Vancouver Island","y","50.644801700000002","-126.9632505","165","NA","39.6","522.07848000000001","88.642968937247929","NA","0.2","122.2",122.4,230,4896,"20.993692907613791","4.2879274729603328E-3","P","33","NA","NA",531.27669,0.218184002021623,1903.7171,0.781815997978377,2434.99379,0.0652807675379261,0.23391975556668,0.299200523104606,NA
"119","VI09","Onshore Wind","Vancouver Island","y","50.587989550000003","-128.2024973","54","NA","13.2","168.34091999999998","94.726775014035169","NA","0.68284271240200001","211",211.682842712402,69,8467.31370849608,"4.453207586463531","5.2592920727564333E-4","P","7","NA","NA",775.2161,0.235324639717475,2519.025,0.764675360282525,3294.2411,0.0952548887769905,0.309525880849815,0.404780769626806,NA
"120","VI11","Onshore Wind","Vancouver Island","y","48.524384269999999","-124.04424469999999","48","NA","12","127.8522","102.72014729515422","NA","0.68284277343800004","34.066906250000002",34.749749023438,69,1389.98996093752,"6.36","4.5755726147189649E-3","R","NA","NA","NA",62.82865,0.224836222634512,216.6132,0.775163777365488,279.44185,0.0077200874282132,0.0266164057656026,0.0343364931938158,NA
"121","VI12","Onshore Wind","Vancouver Island","y","50.496697820000001","-126.76762239999999","48","NA","12","164.90700000000001","88.165206651257805","NA","0.7","9.1999999999999993",9.9,130,396,"6.36","1.6060606060606063E-2","R","NA","NA","NA",61.61515,0.257787202548119,177.4004,0.742212797451881,239.01555,0.00757097828621927,0.0217981223184008,0.0293691006046201,NA
"122","VI13","Onshore Wind","Vancouver Island","y","50.494692499999999","-127.07283200000001","33","NA","8.4","113.50331999999999","87.113135229108053","NA","1","8.8000000000000007",9.8,130,392,"4.453207586463531","1.1360223434855946E-2","P","7","NA","NA",51.06145,0.183207720367944,227.64651,0.816792279632056,278.70796,0.00627418953314032,0.027972126727657,0.0342463162607974,NA
