"","BC Hydro Names","Project Type","Region","In 2021?","Latitude","Longitude","Installed Capacity (MW)","Dependable Generating Capacity (MW)","Effective Load-Carrying Capacity (MW)","Annual Firm Energy (GWh/yr)","UEC ($/MWh)","UCC ($/kW-yr)","R1 Length (km)","T1 Length (km)","Linear Features (km)","Line Voltage","Linear Area (ha)","ATG (ha)","ATG/Linear Ratio","Plateau or Ridgeline - WIND","Number of Turbines - WIND","Footprint of Plant (ha) - SOLAR","Footprint of Panels (ha) - SOLAR","Raw Terrestrial Score","Terrestrial % of Summed Score","Raw Freshwater Score","Freshwater % of Summed Score","Summed Raw Scores","Terrestrial Proportion of Scaled Score","Freshwater Proportion of Scaled Score","Scaled Summed Score","Notes"
"206","SI19","Onshore Wind","Kelly Nicola","y","51.175719659999999","-122.474124","54","NA","13.2","160.05395999999999","89.798275246286522","NA","2.6","38.5",41.1,69,1644,"7","4.2579075425790746E-3","R","NA","NA","NA",487,0.459867799811143,572,0.540132200188857,1059,0.0444952032891731,0.0522613065326633,0.0967565098218365,NA
"207","Solar64495","Solar","Kelly Nicola",NA,"50.695238660000001","-121.85497719999999","17.944615379999998","NA","NA","30.266783100000001","139.08714620000001","NA","1.7","21.6",23.3,25,932,"72.900000000000006","7.8218884120171681E-2","NA","NA","72.900000000000006","29.16",525,0.494350282485876,537,0.505649717514124,1062,0.0479671082686158,0.0490634993147556,0.0970306075833714,NA
"208","SI08","Onshore Wind","Kelly Nicola",NA,"50.360553060000001","-120.57558160000001","117","NA","28.799999999999997","291.07727999999997","92.450222284973009","NA","2.3071069335900001","18.539697265625001",20.846804199215,130,833.8721679686,"15.268140296446392","1.8309929126956209E-2","P","24","NA","NA",604.02,0.567661294112119,460.03,0.432338705887881,1064.05,0.0551868433074463,0.042031064412974,0.0972179077204203,NA
"209","Solar72538","Solar","Kelly Nicola",NA,"49.926839600000001","-120.2570228","26.119384620000002","NA","NA","47.650113279999999","158.17052279999999","NA","0","46.1",46.1,69,1844,"106.11","5.7543383947939258E-2","NA","NA","106.11","42.444000000000003",600,0.562851782363977,466,0.437148217636023,1066,0.0548195523069895,0.0425765189584285,0.097396071265418,NA
"210","Solar36056","Solar","North Coast",NA,"53.922611259999996","-123.52705659999999","84.738461540000003","NA","NA","144.4680716","141.7454127","NA","0.7","40.200000000000003",40.9,230,1636,"344.25","0.210421760391198","NA","NA","344.25","137.69999999999999",453,0.424554826616682,614,0.575445173383318,1067,0.0413887619917771,0.0560986751941526,0.0974874371859296,NA
"211","SI09","Onshore Wind","Kelly Nicola",NA,"50.337349539999998","-120.2431879","96","NA","22.8","233.51532","95.607254920173048","NA","0.66568542480500004","22.027921875000001",22.693607299805,130,907.7442919922,"12.087277734686728","1.3315729816553436E-2","P","19","NA","NA",606,0.56492435047683,466.71,0.43507564952317,1072.71,0.0553677478300594,0.0426413887619918,0.0980091365920512,NA
"212","Upper Misery - Lower Misery","Pumped Storage","Lower Mainland","y","49.755810000899999","-123.601969999","1000","NA","495","NA","NA","170.55434646464647","0.42426406860400001","31.430865786513319",31.8551298551173,500,1274.20519420469,"31.43","2.466635683400846E-2","NA","NA","NA","NA",459,0.423041474654378,626,0.576958525345622,1085,0.041936957514847,0.0571950662402924,0.0991320237551393,NA
"213","SI12","Onshore Wind","Revelstoke","y","50.342679080000003","-119.65686049999999","186","NA","44.4","583.90218000000004","73.214955174331507","NA","0.1","51.7",51.8,230,2072,"23.538382957021522","1.1360223434855944E-2","P","37","NA","NA",691.9,0.634403968348569,398.73,0.365596031651431,1090.63,0.06321608040201,0.0364303334856099,0.0996464138876199,NA
"214","NC11","Onshore Wind","Central Interior",NA,"53.187641970000001","-121.9923874","75","NA","18","212.47380000000001","98.4377501225039","NA","1.8970565185499999","36.525691406249997",38.4227479248,230,1536.909916992,"111.0924","7.2282961266478873E-2","R","NA","NA","NA",515,0.466485507246377,589,0.533514492753623,1104,0.0470534490634993,0.0538145271813614,0.100867976244861,NA
"215","PC36","Onshore Wind","Peace River","y","55.960574549999997","-120.86637829999999","171","NA","42","456.5274","91.951307550862538","NA","4.4041630859400005","72.494023437500005",76.89818652344,230,3075.9274609376,"22.27","7.2400927144139109E-3","R","NA","NA","NA",919,0.831674208144796,186,0.168325791855204,1105,0.0839652809502056,0.0169940612151667,0.100959342165372,NA
"216","Solar36886","Solar","Central Interior",NA,"53.850141479999998","-123.01207340000001","163.09661539999999","NA","NA","253.96906899999999","128.94942349999999","NA","0.4","27.5",27.9,230,1116,"662.58","0.59370967741935488","NA","NA","662.58","265.03199999999998",518,0.466666666666667,592,0.533333333333333,1110,0.0473275468250343,0.0540886249428963,0.101416171767931,NA
"217","Solar36061","Solar","Central Interior",NA,"53.993228530000003","-123.0891566","79.953230770000005","NA","NA","128.9363008","138.50678049999999","NA","0.3","39.700000000000003",40,130,1600,"324.81","0.20300625","NA","NA","324.81","129.92400000000001",615,0.544729849424269,514,0.455270150575731,1129,0.0561900411146642,0.0469620831429877,0.103152124257652,NA
"218","PC20","Onshore Wind","Peace River","y","54.783424879999998","-120.28676","156","NA","38.4","681.59807999999998","53.877756587889799","NA","7.3","72.2",79.5,230,3180,"20.36","6.4025157232704402E-3","R","NA","NA","NA",777,0.686395759717314,355,0.313604240282686,1132,0.0709913202375514,0.0324349017816355,0.103426222019187,NA
