"","BC Hydro Names","Project Type","Region","In 2021?","Latitude","Longitude","Installed Capacity (MW)","Dependable Generating Capacity (MW)","Effective Load-Carrying Capacity (MW)","Annual Firm Energy (GWh/yr)","UEC ($/MWh)","UCC ($/kW-yr)","R1 Length (km)","T1 Length (km)","Linear Features (km)","Line Voltage","Linear Area (ha)","ATG (ha)","ATG/Linear Ratio","Plateau or Ridgeline - WIND","Number of Turbines - WIND","Footprint of Plant (ha) - SOLAR","Footprint of Panels (ha) - SOLAR","Raw Terrestrial Score","Terrestrial % of Summed Score","Raw Freshwater Score","Freshwater % of Summed Score","Summed Raw Scores","Terrestrial Proportion of Scaled Score","Freshwater Proportion of Scaled Score","Scaled Summed Score","Notes"
"185","WBBio_NE_ST_2","Biomass","Peace River","y",58.8055555565,-122.697222223,38.520155471,"37","NA","307","187.48","NA",0,351.052,351.052,230,14042.08,10,0.000712145209256748,"NA","NA","NA","NA",1518.90333972499,0.526254321655461,1367.35008798447,0.473745678344539,2886.25342770946,0.3011086758486,0.271064631728979,0.572173307577578,NA
"186","WBBio_NE_ST_3","Biomass","Peace River","y",58.8055555565,-122.697222223,38.520155471,"37","NA","307","187.48","NA",0,351.052,351.052,230,14042.08,10,0.000712145209256748,"NA","NA","NA","NA",1518.90333972499,0.526254321655461,1367.35008798447,0.473745678344539,2886.25342770946,0.3011086758486,0.271064631728979,0.572173307577578,NA
"187","VI02","Onshore Wind","Vancouver Island","y",50.80660519,-128.1349669,147,"NA","42","514.16819999999996","77.965470085587228","NA",3.5,69,72.5,130,2900,22.2660379323177,0.0076779441145923,"P","35","NA","NA",872.645980009909,0.284684796154714,2192.6599014312,0.715315203845286,3065.30588144111,0.172994073192941,0.434674743440758,0.607668816633699,NA
"188","BC08","Onshore Wind","North Coast",NA,58.3736,-131.538,160,"NA","38.4","526.72127999999998","102.84130249951509","NA",72.2767578125,192.946921875,265.2236796875,230,10608.9471875,44.5320758646353,0.00419759614951286,"P","70","NA","NA",1208.62885607433,0.384175124694054,1937.40736122851,0.615824875305946,3146.03621730284,0.239599601190449,0.384073265139091,0.623672866329539,NA
"189","BC17","Onshore Wind","Peace River",NA,59.7913,-125.352,290,"NA","69.599999999999994","892.69655999999998","112.49687077743719","NA",30.6735195313,572.7378125,603.4113320313,230,24136.453281252,80.1577365563436,0.0033210238315588,"P","126","NA","NA",1346.27530482476,0.422879638054961,1837.31450105231,0.577120361945039,3183.58980587707,0.26688674898618,0.364230772334373,0.631117521320553,NA
"190","BC11","Onshore Wind","North Coast",NA,58.9375,-130.549,150,"NA","36","424.94760000000002","129.55618024565354","NA",125.708414063,260.413109375,386.121523438,230,15444.86093752,41.9873858152276,0.00271853440345508,"P","66","NA","NA",1319.53043449894,0.413986332865733,1867.84636937951,0.586013667134267,3187.37680387845,0.261584823393595,0.370283435596574,0.631868258990169,NA
"191","BC09","Onshore Wind","North Coast",NA,58.5164,-131.28,145,"NA","34.799999999999997","477.34116000000006","110.96678109296646","NA",72.2767578125,192.946921875,265.2236796875,230,10608.9471875,40.0788682781718,0.00377783653456158,"P","63","NA","NA",1453.26620749778,0.425685960369142,1960.67351049891,0.574314039630858,3413.93971799669,0.288096715538464,0.388685566143165,0.676782281681629,NA
"192","NC05","Onshore Wind","North Coast",NA,52.63680392,-129.0720259,261,"NA","62.4","720.63264000000004","135.21545013418904","NA",4.92548388672,214.113828125,219.03931201172,230,8761.5724804688,33.0809706423005,0.00377568874948467,"P","52","NA","NA",1476.89228767615,0.414757007675133,2083.96927788167,0.585242992324867,3560.86156555782,0.292780369548527,0.41312782279202,0.705908192340547,NA
"193","NC06","Onshore Wind","North Coast",NA,52.34780231,-128.6815663,198,"NA","48","595.50479999999993","134.62651943639156","NA",2.76568554688,220.113828125,222.87951367188,230,8915.1805468752,25.4469004940773,0.00285433372440186,"P","40","NA","NA",1935.53977349623,0.471791996533426,2166.98800933592,0.528208003466574,4102.52778283215,0.38370303297593,0.429585525955241,0.813288558931171,NA
"194","BC24","Onshore Wind","Central Interior",NA,51.8293,-124.224,130,"NA","31.2","342.32327999999995","117.50848183458334","NA",5.24558447266,48.727921875,53.97350634766,130,2158.9402539064,36.2618332040602,0.016796126311716,"P","57","NA","NA",2492.602709868,0.585488380525476,1764.70246095518,0.414511619474524,4257.30517082318,0.494135658112963,0.349836100420444,0.843971758533407,NA
"195","BC10","Onshore Wind","North Coast",NA,59.0166,-131.26,165,"NA","39.6","507.91356000000002","125.28558797417327","NA",54.375484375,203.421953125,257.7974375,230,10311.8975,45.1682483769872,0.00438020726805976,"P","71","NA","NA",2108.88614174759,0.473922842269394,2340.96508645894,0.526077157730607,4449.85122820653,0.418067362846178,0.464074888082792,0.88214225092897,NA
"196","NC01","Onshore Wind","North Coast","y",53.46452367,-130.3291488,345,"NA","82.8","1150.2493200000001","75.229339188373373","NA",3.87695581055,99.0661015625,102.94305737305,230,4117.722294922,43.8959033522834,0.010660238891393,"P","69","NA","NA",1400.93080452164,0.277721701225175,3643.43842676783,0.722278298774825,5044.36923128947,0.277721701225175,0.722278298774825,1,NA
