"","BC Hydro Names","Project Type","Region","In 2021?","Latitude","Longitude","Installed Capacity (MW)","Dependable Generating Capacity (MW)","Effective Load-Carrying Capacity (MW)","Annual Firm Energy (GWh/yr)","UEC ($/MWh)","UCC ($/kW-yr)","R1 Length (km)","T1 Length (km)","Linear Features (km)","Line Voltage","Linear Area (ha)","ATG (ha)","ATG/Linear Ratio","Plateau or Ridgeline - WIND","Number of Turbines - WIND","Footprint of Plant (ha) - SOLAR","Footprint of Panels (ha) - SOLAR","Raw Terrestrial Score","Terrestrial % of Summed Score","Raw Freshwater Score","Freshwater % of Summed Score","Summed Raw Scores","Terrestrial Proportion of Scaled Score","Freshwater Proportion of Scaled Score","Scaled Summed Score","Notes"
"1","WBBio_SP_RR","Biomass","Peace River","y","55.700000000499998","-121.633333333","9.2094357002400002","9","NA","73","213.94","NA","0","0.42426399999999997",0.424264,25,16.97056,"10","0.58925574642203904","NA","NA","NA","NA",0.057418,0.0543001915987812,1,0.945699808401219,1.057418,7.05525234034386e-06,0.000122875271523631,0.000129930523863975,NA
"2","WBBio_SP_ST","Biomass","Peace River","y","55.700000000499998","-121.633333333","0.92358257850000003","1","NA","7","213.94","NA","0","0.42426399999999997",0.424264,25,16.97056,"10","0.58925574642203904","NA","NA","NA","NA",0.057418,0.0543001915987812,1,0.945699808401219,1.057418,7.05525234034386e-06,0.000122875271523631,0.000129930523863975,NA
"3","Batt_VI","Battery","Vancouver Island","y","48.494855999999999","-123.42505199999999","50","NA","40","NA","NA","250.36602238805969","0","0.6",0.6,69,24,"0.3","1.2499999999999999E-2","NA","NA","NA","NA",19.1169,0.656556844993801,10,0.343443155006199,29.1169,0.00234899427819011,0.00122875271523631,0.00357774699342642,NA
"4","Solar79181","Solar","Vancouver Island",NA,"48.394614390000001","-123.68698790000001","20.736000000000001","NA","NA","34.642736669999998","156.2644238","NA","0","0",0,130,0,"84.24",NA,"NA","NA","84.24","33.695999999999998",0.573796,0.0167877010420209,33.60575,0.983212298957979,34.179546,7.05053392991735e-05,0.00412931565600527,0.00419982099530445,NA
"5","Chemainus_River-8hr","Small Storage Hydro","Vancouver Island","y","48.88","-123.8","40.1","40","21","113.7","91.427448071216631","NA","0.3","8",8.3,69,332,"7.99","2.4066265060240965E-2","NA","NA","NA","NA",5.363437,0.151666168647578,30,0.848333831352422,35.363437,0.00065903377767489,0.00368625814570894,0.00434529192338383,NA
"6","Spuzzum_Creek-8hr","Small Storage Hydro","Lower Mainland","y","49.68","-121.53","40.4","40","8","134.80000000000001","88.061461448598124","NA","0","9.6941125496967455",9.69411254969675,69,387.76450198787,"9.02","2.3261541357599995E-2","NA","NA","NA","NA",12.6032,0.318236910148675,27,0.681763089851325,39.6032,0.00154862162206663,0.00331763233113804,0.00486625395320467,NA
"7","Solar73257","Solar","Selkirk",NA,"49.882209920000001","-119.53793","15.35261538","NA","NA","25.777106369999998","124.2695628","NA","0","7.1",7.1,25,284,"62.37","0.21961267605633802","NA","NA","62.37","24.948",57.41241,0.851659360642944,10,0.148340639357056,67.41241,0.00705456546757604,0.00122875271523631,0.00828331818281236,NA
"8","Solar73984","Solar","Lower Mainland",NA,"49.25994","-122.8224257","17.34646154","NA","NA","25.107017670000001","133.37647190000001","NA","0.3","0",0.3,25,12,"70.47","5.8724999999999996","NA","NA","70.47","28.187999999999999",20.18106,0.27576889430134,53,0.72423110569866,73.18106,0.00247975322713469,0.00651238939075246,0.00899214261788715,NA
"9","Solar21844","Solar","Peace River",NA,"56.025869370000002","-122.0464077","64.8","NA","NA","101.8299691","129.12719440000001","NA","0.3","3.2",3.5,130,140,"263.25","1.8803571428571428","NA","NA","263.25","105.3",9.40914,0.120761506183785,68.50592,0.879238493816215,77.91506,0.00115615063230386,0.00841768352097616,0.00957383415328002,NA
"10","WBBio_WPR_PL","Biomass","North Coast","y","54.052777778600003","-128.65","13.691422297000001","13","NA","109","133.66","NA","0","4.7698499999999999",4.76985,25,190.794,"10","5.241254966089081E-2","NA","NA","NA","NA",25.63237,0.310197686451448,57,0.689802313548552,82.63237,0.00314958442354418,0.00700389047684698,0.0101534749003912,NA
"11","Solar75466","Solar","Vancouver Island",NA,"48.834504019999997","-124.0850609","46.855384620000002","NA","NA","74.251016120000003","127.60151999999999","NA","0","2.9",2.9,69,116,"190.35","1.640948275862069","NA","NA","190.35","76.14",1.034676,0.0112422409136313,91,0.988757759086369,92.034676,0.000127136094438985,0.0111816497086504,0.0113087858030894,NA
"12","Solar74712","Solar","Lower Mainland",NA,"49.179494689999999","-122.69556009999999","24.723692310000001","NA","NA","36.095815309999999","156.3236301","NA","0","0",0,69,0,"100.44",NA,"NA","NA","100.44","40.176000000000002",39.93704,0.422722835319258,54.53867,0.577277164680742,94.47571,0.00490727463385012,0.00670145388478772,0.0116087285186378,NA
"13","Solar32661","Solar","North Coast",NA,"54.06850523","-125.1401281","30.50584615","NA","NA","48.942919070000002","140.9820125","NA","0","8.5",8.5,69,340,"123.93","0.36449999999999994","NA","NA","123.93","49.572000000000003",15.62341,0.161693837963284,81,0.838306162036715,96.62341,0.00191973074587502,0.00995289699341413,0.0118726277392891,NA
