"","BC Hydro Names","Project Type","Region","Latitude","Longitude","Installed Capacity (MW)","Dependable Generating Capacity (MW)","Effective Load-Carrying Capacity (MW)","Annual Firm Energy (GWh/yr)","UEC ($/MWh)","UCC ($/kW-yr)","R1 Length (km)","T1 Length (km)","Linear Features (km)","Line Voltage","Plateau or Ridgeline - WIND","Number of Turbines - WIND","Footprint of Plant (ha) - SOLAR","Footprint of Panels (ha) - SOLAR","ATG (ha)","Raw Terrestrial Score","Terrestrial % of Summed Score","Raw Freshwater Score","Freshwater % of Summed Score","Summed Raw Scores","Terrestrial Proportion of Scaled Score","Freshwater Proportion of Scaled Score","Scaled Summed Score","Notes"
"11","WBBio_LM_RR","Biomass","Lower Mainland",49.0794444445,-122.483055556,46.9548644984,"45","NA","374","134.79","NA",0.6,3.67279,4.27279,69,"NA","NA","NA","NA",10,268,0.516377649325626,251,0.483622350674374,519,0.0111088247999446,0.0104041605402466,0.0215129853401913,NA
"12","WBBio_LM_ST_1","Biomass","Lower Mainland",49.0794444445,-122.483055556,38.5057778184,"37","NA","307","104.73","NA",0,3.67279,3.67279,69,"NA","NA","NA","NA",10,268,0.516377649325626,251,0.483622350674374,519,0.0111088247999446,0.0104041605402466,0.0215129853401913,NA
"13","WBBio_LM_ST_2","Biomass","Lower Mainland",49.0794444445,-122.483055556,38.5057778184,"37","NA","307","104.73","NA",0.6,3.67279,4.27279,69,"NA","NA","NA","NA",10,268,0.516377649325626,251,0.483622350674374,519,0.0111088247999446,0.0104041605402466,0.0215129853401913,NA
"14","Solar73988","Solar","Selkirk",49.82259966,-119.5990861,105.873230769,"NA","NA","177.4225591880429","99.454599163987098","NA",0,3.6,3.6,130,"NA","NA","511.92","204.76800000000003",511.92,430,0.755711775043937,139,0.244288224956063,569,0.0178672813218836,0.00577570256684145,0.0236429838887251,NA
"15","SI22","Onshore Wind","Kelly Nicola",50.76215624,-121.717804,48,"NA","12","141.036","88.914457851157948","NA",0.741421386719,15.603658203125,16.345079589844,69,"P","10","NA","NA",6.36172512351933,267.21271,0.453344394274682,322.21271,0.546655605725318,589.42542,0.0111128792764941,0.0134002269112948,0.0245131061877889,NA
"16","ROR_5018","Run of River","Lower Mainland",50.371717,-122.7530678,15.82,"NA","2","37","86.53","NA",0.200000000002,5.23407068874,5.434070688742,69,"NA","NA","NA","NA",6.85,362,0.569182389937107,274,0.430817610062893,636,0.0150817293453479,0.0114154525984125,0.0264971819437603,NA
"17","PC29","Onshore Wind","Peace River",55.57650639,-121.7008243,87,"NA","21.599999999999998","213.57755999999998","98.6800376344559","NA",0.8,15.8911689453125,16.6911689453125,130,"R","NA","NA","NA",154.2378,408,0.628659476117103,241,0.371340523882897,649,0.0170058558999733,0.0100451256664058,0.0270509815663791,NA
"18","Solar71004","Solar","Revelstoke",50.23956119,-119.1681915,110.259692308,"NA","NA","183.89581588506243","99.61543341729832","NA",2,4.9,6.9,130,"NA","NA","567","226.8",567,588,0.900459418070444,65,0.0995405819295559,653,0.0245117492997763,0.00270963215048548,0.0272213814502618,NA
"19","Nimpkish_River_B-8hr","Small Storage Hydro","Vancouver Island",50.52,-127.02,77.6,"40","38","380","75.443835022643938","NA",0,7.6,7.6,130,"NA","NA","NA","NA",7.62,145,0.207736389684814,553,0.792263610315186,698,0.00605310189236622,0.023085278251576,0.0291383801439422,NA
"20","PC46","Onshore Wind","Peace River",55.077248,-121.11845,54,"NA","13.2","216.81","76.420343570647532","NA",6.8,8.4,15.2,69,"R","NA","NA","NA",7,432,0.586160108548168,305,0.413839891451832,737,0.0180536018088155,0.0127461772029831,0.0307997790117986,NA
"21","Solar76979","Solar","Vancouver Island",48.73663866,-123.7746615,92.1156923077,"NA","NA","151.38292161644466","102.62417884982256","NA",0,5.7,5.7,13,"NA","NA","200.88","80.352000000000004",200.88,405,0.532194480946124,356,0.467805519053876,761,0.0169355876709769,0.0148865906441179,0.0318221783150948,NA
"22","VI13","Onshore Wind","Vancouver Island",50.4946925,-127.072832,33,"NA","8.4","113.50331999999999","87.113135229108053","NA",1,8.8,9.8,130,"P","7","NA","NA",4.45320758646353,267,0.342307692307692,513,0.657692307692308,780,0.0111700400805956,0.0214615376829421,0.0326315777635377,NA
"23","Canoe Creek - Valemount","Geothermal","Kelly Nicola",52.673325,-119.056345,14.3,"52","NA","385.16461135371998","88.585188657271829","NA",0,21.552185546875,21.552185546875,25,"NA","NA","NA","NA",15.6,636,0.814340588988476,145,0.185659411011524,781,0.0266079091410337,0.00606626859347466,0.0326741777345083,NA
"24","Solar70163","Solar","Kelly Nicola",50.19913579,-120.4685847,94.7076923077,"NA","NA","167.4049309600608","95.403752700978643","NA",0.3,6.4,6.7,130,"NA","NA","332.1","132.84",332.1,490,0.6125,310,0.3875,800,0.0205086910245576,0.0129748861583936,0.0334835771829512,NA
"25","Sloquet Creek","Geothermal","Lower Mainland",49.736758,-122.303431,10,"8","NA","57","157.06","NA",0.300000000003725,8.44264,8.74264000000373,69,"NA","NA","NA","NA",2.3,325,0.389221556886228,510,0.610778443113772,835,0.0136128589871264,0.0213617171797984,0.0349745761669248,NA
"26","VI14","Onshore Wind","Vancouver Island",50.44600547,-127.2969015,33,"NA","8.4","129.44651999999999","88.609477321999194","NA",0.9,17.8,18.7,130,"R","NA","NA","NA",4.45,343,0.404481132075472,505,0.595518867924528,848,0.0143705576601574,0.0211578181293862,0.0355283757895436,NA
"27","Solar62049","Solar","Kelly Nicola",51.03224575,-121.6617556,41.6713846154,"NA","NA","74.167136563120138","103.70208520210363","NA",0.7,8.9,9.6,69,"NA","NA","1554.39","621.75600000000009",1554.39,482,0.561117578579744,377,0.438882421420256,859,0.0201985357120449,0.0157984397581762,0.035996975470221,NA
"28","VI12","Onshore Wind","Vancouver Island",50.49669782,-126.7676224,48,"NA","12","164.90700000000001","88.165206651257805","NA",0.7,9.2,9.9,130,"R","NA","NA","NA",6.36,352,0.406466512702079,514,0.593533487297921,866,0.0147527733186946,0.0215424019483211,0.0362951752670158,NA
