"","BC Hydro Names","Project Type","Region","In 2021?","Latitude","Longitude","Installed Capacity (MW)","Dependable Generating Capacity (MW)","Effective Load-Carrying Capacity (MW)","Annual Firm Energy (GWh/yr)","UEC ($/MWh)","UCC ($/kW-yr)","R1 Length (km)","T1 Length (km)","Linear Features (km)","Line Voltage","Linear Area (ha)","ATG (ha)","ATG/Linear Ratio","Plateau or Ridgeline - WIND","Number of Turbines - WIND","Footprint of Plant (ha) - SOLAR","Footprint of Panels (ha) - SOLAR","Raw Terrestrial Score","Terrestrial % of Summed Score","Raw Freshwater Score","Freshwater % of Summed Score","Summed Raw Scores","Terrestrial Proportion of Scaled Score","Freshwater Proportion of Scaled Score","Scaled Summed Score","Notes"
"1","WBBio_SP_RR","Biomass","Peace River","y","55.700000000499998","-121.633333333","9.2094357002400002","9","NA","73","213.94","NA","0","0.42426399999999997",0.424264,25,16.97056,"10","0.58925574642203904","NA","NA","NA","NA",0.057417668402195,0.890602199281437,0.007052943110466,0.109397800718563,0.064470611512661,8.95468479720338e-06,1.09995553989468e-06,1.00546403370981e-05,NA
"2","WBBio_SP_ST","Biomass","Peace River","y","55.700000000499998","-121.633333333","0.92358257850000003","1","NA","7","213.94","NA","0","0.42426399999999997",0.424264,25,16.97056,"10","0.58925574642203904","NA","NA","NA","NA",0.057417668402195,0.890602199281437,0.007052943110466,0.109397800718563,0.064470611512661,8.95468479720338e-06,1.09995553989468e-06,1.00546403370981e-05,NA
"3","Solar21844","Solar","Peace River",NA,"56.025869370000002","-122.0464077","64.8","NA","NA","101.8299691","129.12719440000001","NA","0.3","3.2",3.5,130,140,"263.25","1.8803571428571428","NA","NA","263.25","105.3",9.40914032608271,0.645383142829306,5.17001382540911,0.354616857170694,14.5791541514918,0.00146742088589416,0.000806299619821421,0.00227372050571558,NA
"4","Solar79181","Solar","Vancouver Island",NA,"48.394614390000001","-123.68698790000001","20.736000000000001","NA","NA","34.642736669999998","156.2644238","NA","0","0",0,130,0,"84.24",NA,"NA","NA","84.24","33.695999999999998",0.573795862495899,0.0255326644114917,21.8992156982422,0.974467335588508,22.4730115607381,8.94874562059682e-05,0.00341533502388318,0.00350482248008915,NA
"5","Batt_VI","Battery","Vancouver Island","y","48.494855999999999","-123.42505199999999","50","NA","40","NA","NA","250.36602238805969","0","0.6",0.6,69,24,"0.3","1.2499999999999999E-2","NA","NA","NA","NA",19.1168975830078,0.79673108266119,4.87726807594299,0.20326891733881,23.9941656589508,0.00298141315939798,0.000760643883788608,0.00374205704318659,NA
"6","Chemainus_River-8hr","Small Storage Hydro","Vancouver Island","y","48.88","-123.8","40.1","40","21","113.7","91.427448071216631","NA","0.3","8",8.3,69,332,"7.99","2.4066265060240965E-2","NA","NA","NA","NA",5.36343693733215,0.205103746912499,20.7864360809326,0.794896253087501,26.1498730182647,0.000836465299619363,0.00324178930182493,0.00407825460144429,NA
"7","PC32","Onshore Wind","Peace River","y","55.808584250000003","-121.38396040000001","150","NA","36","383.81940000000003","84.166982229582743","NA","0.1","20",20.1,130,804,"19.085175370557995","2.3737780311639294E-2","P","30","NA","NA",12.9211374856532,0.410197624258063,18.5786487674341,0.589802375741937,31.4997862530873,0.00201514127315086,0.00289746951243258,0.00491261078558344,NA
"8","Spuzzum_Creek-8hr","Small Storage Hydro","Lower Mainland","y","49.68","-121.53","40.4","40","8","134.80000000000001","88.061461448598124","NA","0","9.6941125496967455",9.69411254969675,69,387.76450198787,"9.02","2.3261541357599995E-2","NA","NA","NA","NA",12.6032046079636,0.344307684095835,24.001277923584,0.655692315904165,36.6044825315476,0.00196555742926442,0.00374316625033061,0.00570872367959503,NA
"9","WBBio_WPR_PL","Biomass","North Coast","y","54.052777778600003","-128.65","13.691422297000001","13","NA","109","133.66","NA","0","4.7698499999999999",4.76985,25,190.794,"10","5.241254966089081E-2","NA","NA","NA","NA",25.632366001606,0.433987684297642,33.4300611801445,0.566012315702358,59.0624271817505,0.00399754578230417,0.00521365058787331,0.00921119637017748,NA
"10","Solar73257","Solar","Selkirk",NA,"49.882209920000001","-119.53793","15.35261538","NA","NA","25.777106369999998","124.2695628","NA","0","7.1",7.1,25,284,"62.37","0.21961267605633802","NA","NA","62.37","24.948",57.412407875061,0.957332138661526,2.55884510651231,0.0426678613384739,59.9712529815733,0.00895386438140345,0.000399069694247774,0.00935293407565123,NA
