"number" "dsum" "count" "missing" "quant_error" "fname"
0 38.0 38 7759831 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Freshwater\ch_cultus_pygmy.shp.tif"
1 18.0 18 7759831 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Freshwater\ch_hotwater_physa.tif"
2 29.0 29 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Freshwater\ch_ml_lentic_stickle.tif"
3 29.0 29 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Freshwater\ch_ml_lotic_stickle.tif"
4 1.0 1 7759831 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Freshwater\ch_nooksack_dace.tif"
5 12.0 12 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Freshwater\ch_pl_benthic_stickle.tif"
6 12.0 12 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Freshwater\ch_pl_limnetic_stickle.tif"
7 2.0 2 7759831 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Freshwater\ch_salish_sucker.tif"
8 3.0 3 7759831 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Freshwater\ch_speckled_dace.tif"
9 399.0 399 7759831 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Freshwater\ch_vancouver_lamprey.tif"
10 20.0 20 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Freshwater\ch_vc_benthic_threespine.tif"
11 20.0 20 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Freshwater\ch_vc_limnetic_threespine.tif"
12 14.0 14 7759831 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Freshwater\ch_western_brook_lamprey.tif"
13 1390.0 1390 7759831 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Freshwater\ch_white_sturgeon.tif"
14 138216. 138216 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Freshwater\FSW.tif"
15 9.03112e+06 5826660 7811952 0.00176834 "E:\Github\BC Hydro Project\Zonation\400m\Data\Freshwater\psr_freshwater.tif"
16 1.30333e+06 1303326 7759706 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Freshwater\riparian.tif"
17 4.10527e+06 2148993 7759706 0.0184854 "E:\Github\BC Hydro Project\Zonation\400m\Data\Freshwater\salmon_cu.tif"
18 22058.0 22058 7796103 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Freshwater\SEAR.tif"
19 7.44092e+08 5977968 7757952 0.000591773 "E:\Github\BC Hydro Project\Zonation\400m\Data\Freshwater\stream_crossing_density.tif"
20 188588. 188588 7759831 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Protections\other_protections.tif"
21 942076. 942076 7759831 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Protections\protected_areas.tif"
22 49104.0 49104 7759831 0.0 "E:\Github\BC Hydro Project\Zonation\400m\Data\Protections\section11.tif"
23 3.15805e+08 5925391 7810529 0.00143122 "E:\Github\BC Hydro Project\Zonation\400m\Data\HumanFootprint\human_footprint_400m_v2.tif"
