,File,ter,fw
182,Solar36886.tif,518,592
183,Solar36887.tif,576,581
184,Solar36888.tif,415,413
185,Solar36889.tif,575,558
186,Solar36890.tif,65,126
187,Solar36891.tif,426,397
188,Solar36892.tif,293,267
189,Solar36893.tif,369,324
190,Solar36894.tif,209,201
191,Solar36895.tif,426,423
192,Solar36896.tif,187,170
193,Solar36897.tif,221,163
194,Solar36898.tif,229,216
195,Solar36899.tif,272,194
196,Solar37697.tif,179,167
197,Solar37698.tif,597,553
198,Solar37700.tif,438,377
199,Solar37701.tif,414,334
200,Solar37702.tif,316,230
201,Solar37703.tif,329,288
202,Solar37705.tif,210,224
203,Solar37706.tif,306,141
204,Solar37707.tif,1112,939
205,Solar37708.tif,927,640
206,Solar37709.tif,91,70
207,Solar37710.tif,263,190
208,Solar38464.tif,333,242
209,Solar38465.tif,396,296
210,Solar38468.tif,141,122
211,Solar51483.tif,82,72
212,Solar58731.tif,694,528
213,Solar59570.tif,714,540
214,Solar59571.tif,646,509
215,Solar60401.tif,316,233
216,Solar62046.tif,359,341
217,Solar62047.tif,317,311
218,Solar62049.tif,673,595
219,Solar62055.tif,381,334
220,Solar62881.tif,171,163
221,Solar64495.tif,525,537
222,Solar64496.tif,436,442
223,Solar65228.tif,431,349
224,Solar65972.tif,247,231
225,Solar65976.tif,471,364
226,Solar65978.tif,837,636
227,Solar66720.tif,176,119
228,Solar66721.tif,104,146
229,Solar66722.tif,316,230
230,Solar66723.tif,303,232
231,Solar66726.tif,474,379
232,Solar67480.tif,229,230
233,Solar67498.tif,688,589
234,Solar68366.tif,245,230
235,Solar68372.tif,363,321
236,Solar68377.tif,470,371
237,Solar68378.tif,348,360
238,Solar68379.tif,266,245
239,Solar68395.tif,187,188
240,Solar68400.tif,88,113
241,Solar69283.tif,366,204
242,Solar69284.tif,353,231
243,Solar69285.tif,450,465
244,Solar70163.tif,340,225
245,Solar70164.tif,800,555
246,Solar70166.tif,160,93
247,Solar70167.tif,830,534
248,Solar70181.tif,379,110
249,Solar70190.tif,463,498
250,Solar70973.tif,117,115
251,Solar70974.tif,111,88
252,Solar70980.tif,419,437
253,Solar70981.tif,325,338
254,Solar70982.tif,585,690
255,Solar70983.tif,765,910
256,Solar70984.tif,318,311
257,Solar70986.tif,1014,706
258,Solar70988.tif,732,513
259,Solar70989.tif,963,643
260,Solar70993.tif,1543,1025
261,Solar71004.tif,361,40
262,Solar71006.tif,154,51
263,Solar71767.tif,68,65
264,Solar71768.tif,166,142
265,Solar71769.tif,220,154
266,Solar71774.tif,687,627
267,Solar71777.tif,600,381
268,Solar71781.tif,399,264
269,Solar71782.tif,367,264
270,Solar71783.tif,775,682
271,Solar72530.tif,220,144
272,Solar72533.tif,788,421
273,Solar72534.tif,617,435
274,Solar72536.tif,767,570
275,Solar72538.tif,600,466
276,Solar72541.tif,620,248
277,Solar72543.tif,700,138
278,Solar73255.tif,108,32
279,Solar73256.tif,410,173
280,Solar73257.tif,60,10
281,Solar73258.tif,440,84
282,Solar73259.tif,817,359
283,Solar73260.tif,470,92
284,Solar73982.tif,46,93
285,Solar73984.tif,25,53
286,Solar73987.tif,120,37
287,Solar73988.tif,360,130
288,Solar73989.tif,1214,371
289,Solar73991.tif,530,106
290,Solar73997.tif,261,233
291,Solar74711.tif,44,151
292,Solar74712.tif,46,100
293,Solar75466.tif,11,91
294,Solar75468.tif,68,126
295,Solar76231.tif,57,138
296,Solar76234.tif,127,229
297,Solar76238.tif,144,108
298,Solar76239.tif,320,255
299,Solar76979.tif,148,143
300,Solar76981.tif,129,113
301,Solar77691.tif,256,377
302,Solar77693.tif,50,86
303,Solar77711.tif,864,537
