"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.00000 0.0000 0.0000
0.00010 0.0000 0.0000
0.00020 0.0000 0.0000
0.00030 0.0000 0.0000
0.00040 0.0000 0.0000
0.00050 0.0000 0.0000
0.00060 0.0000 0.0000
0.00070 0.0000 0.0000
0.00080 0.0000 0.0000
0.00090 0.0000 0.0000
0.00100 0.0000 0.0000
0.00110 0.0000 0.0000
0.00120 0.0000 0.0000
0.00130 0.0000 0.0000
0.00140 0.0000 0.0000
0.00150 0.0000 0.0000
0.00160 0.0000 0.0000
0.00170 0.0000 0.0000
0.00180 0.0000 0.0000
0.00190 0.0000 0.0000
0.00200 0.0000 0.0000
0.00210 0.0000 0.0000
0.00220 0.0000 0.0000
0.00230 0.0000 0.0000
0.00240 0.0000 0.0000
0.00250 0.0000 0.0000
0.00260 0.0000 0.0000
0.00270 0.0000 0.0000
0.00280 0.0000 0.0000
0.00290 0.0000 0.0000
0.00300 0.0000 0.0000
0.00310 0.0000 0.0000
0.00320 0.0000 0.0000
0.00330 0.0000 0.0000
0.00340 0.0000 0.0000
0.00350 0.0000 0.0000
0.00360 0.0000 0.0000
0.00370 0.0000 0.0000
0.00380 0.0000 0.0000
0.00390 0.0000 0.0000
0.00400 0.0000 0.0000
0.00410 0.0000 0.0000
0.00420 0.0000 0.0000
0.00430 0.0000 0.0000
0.00440 0.0000 0.0000
0.00450 0.0000 0.0000
0.00460 0.0000 0.0000
0.00470 0.0000 0.0000
0.00480 0.0000 0.0000
0.00490 0.0000 0.0000
0.00500 0.0000 0.0000
0.00510 0.0000 0.0000
0.00520 0.0000 0.0000
0.00530 0.0000 0.0000
0.00540 0.0000 0.0000
0.00550 0.0000 0.0000
0.00560 0.0030 0.0030
0.00570 0.0030 0.0030
0.00580 0.0042 0.0042
0.00590 0.0042 0.0042
0.00600 0.0072 0.0072
0.00610 0.0066 0.0066
0.00620 0.0072 0.0072
0.00630 0.0072 0.0072
0.00640 0.0060 0.0060
0.00650 0.0066 0.0066
0.00660 0.0089 0.0089
0.00670 0.0125 0.0125
0.00680 0.0101 0.0101
0.00690 0.0179 0.0179
0.00700 0.0441 0.0441
0.00710 0.0453 0.0453
0.00720 0.0477 0.0477
0.00730 0.0465 0.0465
0.00740 0.0471 0.0471
0.00750 0.0495 0.0495
0.00760 0.0525 0.0525
0.00770 0.0548 0.0548
0.00780 0.0525 0.0525
0.00790 0.0560 0.0560
0.00800 0.0566 0.0566
0.00810 0.0578 0.0578
0.00820 0.0566 0.0566
0.00830 0.0578 0.0578
0.00840 0.0554 0.0554
0.00850 0.0578 0.0578
0.00860 0.0578 0.0578
0.00870 0.0566 0.0566
0.00880 0.0578 0.0578
0.00890 0.0584 0.0584
0.00900 0.0578 0.0578
0.00910 0.0578 0.0578
0.00920 0.0566 0.0566
0.00930 0.0578 0.0578
0.00940 0.0578 0.0578
0.00950 0.0578 0.0578
0.00960 0.0578 0.0578
0.00970 0.0578 0.0578
0.00980 0.0566 0.0566
0.00990 0.0554 0.0554
0.01000 0.0507 0.0507
0.01010 0.0507 0.0507
0.01020 0.0501 0.0501
0.01030 0.0531 0.0531
0.01040 0.0554 0.0554
0.01050 0.0554 0.0554
0.01060 0.0548 0.0548
0.01070 0.0560 0.0560
0.01080 0.0554 0.0554
0.01090 0.0548 0.0548
0.01100 0.0566 0.0566
0.01110 0.0584 0.0584
0.01120 0.0560 0.0560
0.01130 0.0566 0.0566
0.01140 0.0578 0.0578
0.01150 0.0584 0.0584
0.01160 0.0590 0.0590
0.01170 0.0590 0.0590
0.01180 0.0608 0.0608
0.01190 0.0614 0.0614
0.01200 0.0608 0.0608
0.01210 0.0608 0.0608
0.01220 0.0614 0.0614
0.01230 0.0614 0.0614
0.01240 0.0632 0.0632
0.01250 0.0626 0.0626
0.01260 0.0644 0.0644
0.01270 0.0638 0.0638
0.01280 0.0620 0.0620
0.01290 0.0638 0.0638
0.01300 0.0638 0.0638
0.01310 0.0638 0.0638
0.01320 0.0632 0.0632
0.01330 0.0626 0.0626
0.01340 0.0602 0.0602
0.01350 0.0513 0.0513
0.01360 0.0674 0.0674
0.01370 0.0668 0.0668
0.01380 0.0632 0.0632
0.01390 0.0638 0.0638
0.01400 0.0650 0.0650
0.01410 0.0638 0.0638
0.01420 0.0650 0.0650
0.01430 0.0650 0.0650
0.01440 0.0620 0.0620
0.01450 0.0656 0.0656
0.01460 0.0632 0.0632
0.01470 0.0650 0.0650
0.01480 0.0650 0.0650
0.01490 0.0638 0.0638
0.01500 0.0650 0.0650
0.01510 0.0650 0.0650
0.01520 0.0638 0.0638
0.01530 0.0650 0.0650
0.01540 0.0650 0.0650
0.01550 0.0650 0.0650
0.01560 0.0644 0.0644
0.01570 0.0668 0.0668
0.01580 0.0680 0.0680
0.01590 0.0662 0.0662
0.01600 0.0668 0.0668
0.01610 0.0662 0.0662
0.01620 0.0668 0.0668
0.01630 0.0662 0.0662
0.01640 0.0674 0.0674
0.01650 0.0644 0.0644
0.01660 0.0674 0.0674
0.01670 0.0668 0.0668
0.01680 0.0650 0.0650
0.01690 0.0662 0.0662
0.01700 0.0662 0.0662
0.01710 0.0656 0.0656
0.01720 0.0650 0.0650
0.01730 0.0662 0.0662
0.01740 0.0662 0.0662
0.01750 0.0638 0.0638
0.01760 0.0662 0.0662
0.01770 0.0656 0.0656
0.01780 0.0686 0.0686
0.01790 0.0656 0.0656
0.01800 0.0680 0.0680
0.01810 0.0674 0.0674
0.01820 0.0668 0.0668
0.01830 0.0662 0.0662
0.01840 0.0668 0.0668
0.01850 0.0662 0.0662
0.01860 0.0674 0.0674
0.01870 0.0656 0.0656
0.01880 0.0650 0.0650
0.01890 0.0674 0.0674
0.01900 0.0650 0.0650
0.01910 0.0656 0.0656
0.01920 0.0662 0.0662
0.01930 0.0662 0.0662
0.01940 0.0662 0.0662
0.01950 0.0644 0.0644
0.01960 0.0674 0.0674
0.01970 0.0650 0.0650
0.01980 0.0668 0.0668
0.01990 0.0674 0.0674
0.02000 0.0656 0.0656
0.02010 0.0662 0.0662
0.02020 0.0662 0.0662
0.02030 0.0650 0.0650
0.02040 0.0662 0.0662
0.02050 0.0650 0.0650
0.02060 0.0644 0.0644
0.02070 0.0674 0.0674
0.02080 0.0668 0.0668
0.02090 0.0662 0.0662
0.02100 0.0668 0.0668
0.02110 0.0662 0.0662
0.02120 0.0674 0.0674
0.02130 0.0680 0.0680
0.02140 0.0680 0.0680
0.02150 0.0668 0.0668
0.02160 0.0691 0.0691
0.02170 0.0680 0.0680
0.02180 0.0686 0.0686
0.02190 0.0686 0.0686
0.02200 0.0674 0.0674
0.02210 0.0691 0.0691
0.02220 0.0691 0.0691
0.02230 0.0680 0.0680
0.02240 0.0680 0.0680
0.02250 0.0680 0.0680
0.02260 0.0691 0.0691
0.02270 0.0691 0.0691
0.02280 0.0680 0.0680
0.02290 0.0691 0.0691
0.02300 0.0691 0.0691
0.02310 0.0691 0.0691
0.02320 0.0691 0.0691
0.02330 0.0680 0.0680
0.02340 0.0680 0.0680
0.02350 0.0691 0.0691
0.02360 0.0680 0.0680
0.02370 0.0680 0.0680
0.02380 0.0691 0.0691
0.02390 0.0691 0.0691
0.02400 0.0691 0.0691
0.02410 0.0680 0.0680
0.02420 0.0691 0.0691
0.02430 0.0691 0.0691
0.02440 0.0668 0.0668
0.02450 0.0691 0.0691
0.02460 0.0680 0.0680
0.02470 0.0691 0.0691
0.02480 0.0691 0.0691
0.02490 0.0691 0.0691
0.02500 0.0703 0.0703
0.02510 0.0680 0.0680
0.02520 0.0691 0.0691
0.02530 0.0680 0.0680
0.02540 0.0680 0.0680
0.02550 0.0668 0.0668
0.02560 0.0674 0.0674
0.02570 0.0662 0.0662
0.02580 0.0656 0.0656
0.02590 0.0674 0.0674
0.02600 0.0680 0.0680
0.02610 0.0691 0.0691
0.02620 0.0680 0.0680
0.02630 0.0691 0.0691
0.02640 0.0697 0.0697
0.02650 0.0686 0.0686
0.02660 0.0697 0.0697
0.02670 0.0703 0.0703
0.02680 0.0668 0.0668
0.02690 0.0715 0.0715
0.02700 0.0697 0.0697
0.02710 0.0703 0.0703
0.02720 0.0703 0.0703
0.02730 0.0709 0.0709
0.02740 0.0697 0.0697
0.02750 0.0703 0.0703
0.02760 0.0721 0.0721
0.02770 0.0715 0.0715
0.02780 0.0697 0.0697
0.02790 0.0733 0.0733
0.02800 0.0703 0.0703
0.02810 0.0697 0.0697
0.02820 0.0721 0.0721
0.02830 0.0715 0.0715
0.02840 0.0697 0.0697
0.02850 0.0721 0.0721
0.02860 0.0715 0.0715
0.02870 0.0697 0.0697
0.02880 0.0715 0.0715
0.02890 0.0697 0.0697
0.02900 0.0715 0.0715
0.02910 0.0721 0.0721
0.02920 0.0709 0.0709
0.02930 0.0709 0.0709
0.02940 0.0715 0.0715
0.02950 0.0709 0.0709
0.02960 0.0709 0.0709
0.02970 0.0727 0.0727
0.02980 0.0709 0.0709
0.02990 0.0721 0.0721
0.03000 0.0709 0.0709
0.03010 0.0721 0.0721
0.03020 0.0727 0.0727
0.03030 0.0709 0.0709
0.03040 0.0709 0.0709
0.03050 0.0733 0.0733
0.03060 0.0721 0.0721
0.03070 0.0709 0.0709
0.03080 0.0715 0.0715
0.03090 0.0721 0.0721
0.03100 0.0721 0.0721
0.03110 0.0721 0.0721
0.03120 0.0721 0.0721
0.03130 0.0733 0.0733
0.03140 0.0703 0.0703
0.03150 0.0727 0.0727
0.03160 0.0733 0.0733
0.03170 0.0715 0.0715
0.03180 0.0721 0.0721
0.03190 0.0727 0.0727
0.03200 0.0715 0.0715
0.03210 0.0733 0.0733
0.03220 0.0727 0.0727
0.03230 0.0715 0.0715
0.03240 0.0721 0.0721
0.03250 0.0709 0.0709
0.03260 0.0733 0.0733
0.03270 0.0733 0.0733
0.03280 0.0697 0.0697
0.03290 0.0733 0.0733
0.03300 0.0721 0.0721
0.03310 0.0721 0.0721
0.03320 0.0721 0.0721
0.03330 0.0733 0.0733
0.03340 0.0715 0.0715
0.03350 0.0727 0.0727
0.03360 0.0727 0.0727
0.03370 0.0709 0.0709
0.03380 0.0721 0.0721
0.03390 0.0733 0.0733
0.03400 0.0721 0.0721
0.03410 0.0709 0.0709
0.03420 0.0733 0.0733
0.03430 0.0721 0.0721
0.03440 0.0721 0.0721
0.03450 0.0721 0.0721
0.03460 0.0733 0.0733
0.03470 0.0709 0.0709
0.03480 0.0733 0.0733
0.03490 0.0721 0.0721
0.03500 0.0721 0.0721
0.03510 0.0715 0.0715
0.03520 0.0733 0.0733
0.03530 0.0721 0.0721
0.03540 0.0721 0.0721
0.03550 0.0733 0.0733
0.03560 0.0709 0.0709
0.03570 0.0733 0.0733
0.03580 0.0721 0.0721
0.03590 0.0709 0.0709
0.03600 0.0733 0.0733
0.03610 0.0721 0.0721
0.03620 0.0733 0.0733
0.03630 0.0709 0.0709
0.03640 0.0691 0.0691
0.03650 0.0680 0.0680
0.03660 0.0691 0.0691
0.03670 0.0691 0.0691
0.03680 0.0680 0.0680
0.03690 0.0715 0.0715
0.03700 0.0686 0.0686
0.03710 0.0703 0.0703
0.03720 0.0709 0.0709
0.03730 0.0686 0.0686
0.03740 0.0709 0.0709
0.03750 0.0703 0.0703
0.03760 0.0727 0.0727
0.03770 0.0703 0.0703
0.03780 0.0733 0.0733
0.03790 0.0697 0.0697
0.03800 0.0715 0.0715
0.03810 0.0709 0.0709
0.03820 0.0721 0.0721
0.03830 0.0715 0.0715
0.03840 0.0721 0.0721
0.03850 0.0727 0.0727
0.03860 0.0703 0.0703
0.03870 0.0721 0.0721
0.03880 0.0721 0.0721
0.03890 0.0721 0.0721
0.03900 0.0715 0.0715
0.03910 0.0727 0.0727
0.03920 0.0727 0.0727
0.03930 0.0721 0.0721
0.03940 0.0721 0.0721
0.03950 0.0733 0.0733
0.03960 0.0709 0.0709
0.03970 0.0691 0.0691
0.03980 0.0691 0.0691
0.03990 0.0691 0.0691
0.04000 0.0685 0.0685
0.04010 0.0691 0.0691
