"number" "dsum" "count" "missing" "quant_error" "fname"
0 4.61275e+06 4612748 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\ALR.tif"
1 6.28706e+06 6287064 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\bec_BAFA.tif"
2 257050. 257050 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\bec_BG.tif"
3 1.64054e+07 16405402 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\bec_BWBS.tif"
4 263165. 263165 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\bec_CDF.tif"
5 3.57324e+06 3573245 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\bec_CMA.tif"
6 1.09842e+07 10984209 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\bec_CWH.tif"
7 1.74655e+07 17465527 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\bec_ESSF.tif"
8 5.53893e+06 5538929 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\bec_ICH.tif"
9 4.4879e+06 4487901 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\bec_IDF.tif"
10 1.25766e+06 1257659 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\bec_IMA.tif"
11 4.0582e+06 4058199 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\bec_MH.tif"
12 2.8631e+06 2863101 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\bec_MS.tif"
13 295083. 295083 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\bec_PP.tif"
14 2.26536e+06 2265357 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\bec_SBPS.tif"
15 1.03369e+07 10336852 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\bec_SBS.tif"
16 8.65492e+06 8654920 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\bec_SWB.tif"
17 6.54899e+07 65489901 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\caribou_range.tif"
18 2.70590e+06 2705903 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\ch_american_badger.tif"
19 704.0 704 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\ch_audouins_tiger_beetle.tif"
20 72996.0 72996 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\ch_barn_owl.tif"
21 30.0 30 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\ch_batwing_vinyl_lichen.tif"
22 28.0 28 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\ch_bearded_owlclover.tif"
23 85.0 85 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\ch_bearsfoot_sanicle.tif"
24 4514.0 4514 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\ch_behrs_hairstreak.tif"
25 406.0 406 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\ch_bluegrey_taildropper.tif"
26 221.0 221 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\ch_bog_birdsfoot_trefoil.tif"
27 51.0 51 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\ch_branching_phacelia.tif"
28 27.0 27 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\ch_california_buttercup.tif"
29 682.0 682 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\ch_cliff_paintbrush.tif"
30 22829.0 22829 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\ch_coastal_giant_salamander.tif"
31 43.0 43 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\ch_coastal_scoulers_catchfly.tif"
32 15.0 15 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\ch_coastal_silverpuff.tif"
33 627.0 627 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\ch_columbia_quillwort.tif"
34 137.0 137 123376172 0.0 "E:\Github\BC Hydro Project\Zonation\100m\Data\Terrestrial\ch_crumpled_tarpaper_lichen.tif"
