Plateau,Average_Sum
BC08_01,36.9444504019618
BC08_02,60.4700478374213
BC09_01,11.487298424355686
BC09_02,74.8559587810561
BC10_01,19.79111274356954
BC10_02,10.213961492106318
BC10_03,33.72250749588013
BC10_04,13.177066203542054
BC11_01,13.73557157676667
BC11_02,13.940077404724434
BC13_01,20.779146362505852
BC13_02,16.19685891315341
BC15,95.18352017921396
BC17,70.72863539273385
BC18,208.16026775687934
BC19,152.80931369125844
BC20,340.58923667520287
BC21,576.6101102048159
BC22,318.4201480802894
BC23,160.6901941713691
BC24,137.25373126029967
BC25,194.394749751091
BC26_01,86.73945897132158
BC26_02,72.38619944095612
BC26_03,117.15887076348066
NC01,208.03465762226378
NC02,138.12163563939276
NC05,157.00998607483226
NC06,149.66189897231757
PC32,6.699430355075747
SI01,350.0918149191141
SI02,76.06479063361883
SI03,124.21949978023767
SI04,50.60544765710831
SI05,99.56989049613476
SI06,72.93050410240889
SI08,63.58306519269943
SI09,50.05028812557459
SI10,76.00102559775114
SI11,112.14177565217018
SI12,40.32280873990618
SI13,279.5348042689124
SI14,90.85386751143261
SI15,149.61146367007868
SI22,34.70551201105118
SI30,4.887602270571515
SI31,3.9419357632426544
SI33,3.2514170921780168
SI38,16.28714988976717
VI02,150.61140783309938
VI04,32.26427935689688
VI05,221.80710514128208
VI06,85.11503009617329
VI07,111.52129854579456
VI08,16.33408706560731
VI09,16.961530377715825
VI13,28.997447565197945
NC08,147.00411310762166
NC09,197.83786527514457
